lang_pair,clcs_opus,clcs_nllb
hu-it,0.6266666666666666,0.66
el-es,0.6733333333333333,0.64
it-ro,0.7133333333333334,0.68
da-id,0.6866666666666666,0.6533333333333333
it-zh,0.66,0.6933333333333334
el-id,0.6333333333333333,0.6666666666666666
cs-nl,0.6933333333333334,0.66
lv-sr,0.54,0.5733333333333334
he-nl,0.56,0.5933333333333334
es-fi,0.6466666666666666,0.6133333333333333
ru-zh,0.5866666666666667,0.62
hi-ru,0.5266666666666667,0.56
da-nl,0.7333333333333334,0.7000000000000001
fi-ro,0.5866666666666668,0.62
bs-ru,0.6666666666666666,0.6999999999999998
ar-de,0.5933333333333334,0.6266666666666666
ar-pt,0.6,0.5666666666666668
lv-pt,0.5933333333333334,0.5666666666666665
cs-da,0.6933333333333334,0.7200000000000001
hr-ru,0.7133333333333334,0.6866666666666666
bs-da,0.68,0.6533333333333333
sl-sr,0.66,0.6333333333333333
ro-uk,0.6733333333333333,0.7000000000000001
hu-id,0.62,0.5933333333333333
fi-lv,0.5866666666666668,0.56
pt-zh,0.6333333333333333,0.66
nl-pl,0.6733333333333333,0.6466666666666666
es-fr,0.7400000000000001,0.7133333333333334
es-lv,0.64,0.6133333333333333
he-ro,0.5933333333333333,0.62
ro-sr,0.6266666666666666,0.6533333333333333
ro-sv,0.6466666666666666,0.6733333333333333
fr-hr,0.6666666666666666,0.6933333333333334
cs-de,0.7133333333333334,0.6866666666666666
da-el,0.6533333333333333,0.6266666666666666
pl-ro,0.7200000000000001,0.6933333333333334
hr-it,0.6266666666666666,0.6
sr-zh,0.5466666666666667,0.5733333333333334
lv-zh,0.6466666666666666,0.62
ru-sv,0.7133333333333333,0.6866666666666666
pl-pt,0.7066666666666667,0.68
cs-fi,0.6,0.6266666666666666
uk-zh,0.6,0.6266666666666666
he-ru,0.58,0.6066666666666666
cs-he,0.5533333333333333,0.58
da-he,0.6,0.6266666666666666
el-sv,0.6533333333333333,0.6266666666666667
ar-bs,0.62,0.6466666666666666
fi-hr,0.5933333333333334,0.62
fi-pt,0.64,0.6666666666666666
fr-it,0.7733333333333334,0.7533333333333333
lv-ro,0.6000000000000001,0.58
ar-zh,0.64,0.62
nl-zh,0.6133333333333333,0.6333333333333333
id-uk,0.64,0.62
es-ru,0.66,0.68
id-sl,0.6133333333333334,0.5933333333333334
hr-hu,0.6533333333333333,0.6333333333333333
el-sr,0.6533333333333333,0.6733333333333333
fi-zh,0.5933333333333334,0.6133333333333334
el-it,0.66,0.68
hi-hr,0.5533333333333333,0.5733333333333334
fr-sr,0.64,0.66
nl-sv,0.6733333333333333,0.6533333333333333
de-el,0.6733333333333333,0.6533333333333333
bs-hu,0.64,0.66
cs-it,0.6733333333333333,0.6533333333333333
he-sl,0.6066666666666667,0.5866666666666667
it-sl,0.68,0.66
de-pl,0.7133333333333333,0.6933333333333334
fi-pl,0.6266666666666666,0.6066666666666667
cs-uk,0.6933333333333334,0.7133333333333333
ar-cs,0.5800000000000001,0.6
bs-el,0.68,0.6999999999999998
hr-pl,0.68,0.6666666666666666
da-fi,0.68,0.6666666666666666
nl-ro,0.7000000000000001,0.6866666666666666
da-de,0.7399999999999999,0.7533333333333333
es-pt,0.7799999999999999,0.7933333333333333
hr-id,0.5933333333333334,0.58
fi-id,0.64,0.6266666666666666
cs-id,0.6266666666666666,0.6133333333333333
bs-sv,0.6866666666666666,0.6733333333333333
nl-sr,0.6533333333333333,0.64
hu-ru,0.6933333333333334,0.7066666666666667
es-hu,0.6,0.6133333333333333
de-sv,0.6666666666666666,0.6533333333333333
cs-sl,0.6533333333333333,0.6666666666666666
ar-fi,0.56,0.5466666666666667
bs-cs,0.66,0.6733333333333333
cs-hu,0.7000000000000001,0.7133333333333333
es-sr,0.6133333333333334,0.6266666666666666
nl-pt,0.7399999999999999,0.7266666666666667
lv-ru,0.6066666666666668,0.62
fi-nl,0.5866666666666668,0.6
lv-nl,0.5866666666666668,0.58
de-fr,0.7333333333333334,0.7266666666666666
ru-uk,0.7266666666666667,0.7333333333333334
bs-hr,0.7999999999999999,0.8066666666666666
hu-nl,0.6733333333333333,0.6666666666666666
ar-sv,0.5466666666666667,0.54
pt-uk,0.6733333333333333,0.6666666666666666
he-hr,0.5866666666666667,0.58
de-es,0.6933333333333334,0.6866666666666666
de-hu,0.6933333333333334,0.7000000000000001
sv-uk,0.6466666666666666,0.6533333333333333
sv-zh,0.5666666666666668,0.56
cs-es,0.64,0.6333333333333333
fi-hu,0.5733333333333334,0.5666666666666667
fr-zh,0.6533333333333333,0.66
bs-fi,0.5733333333333334,0.5800000000000001
el-fr,0.6733333333333333,0.6666666666666666
it-ru,0.68,0.6733333333333333
id-ru,0.6533333333333333,0.6466666666666666
es-hr,0.6133333333333333,0.62
es-uk,0.64,0.6466666666666666
sr-sv,0.64,0.6333333333333334
id-sv,0.62,0.6266666666666666
he-pt,0.5666666666666668,0.5733333333333334
bs-id,0.6000000000000001,0.6066666666666667
he-sv,0.5533333333333333,0.5466666666666667
cs-el,0.68,0.6866666666666666
bs-hi,0.56,0.5666666666666667
fi-sr,0.5933333333333334,0.6
el-ro,0.66,0.6666666666666666
el-lv,0.5933333333333334,0.6
de-pt,0.6999999999999998,0.6933333333333334
da-fr,0.7399999999999999,0.7333333333333334
da-ro,0.7266666666666667,0.7266666666666666
